ax_00_heatmap_x,ax_00_heatmap_y,ax_00_heatmap_value
0,0,0.3745401188473625
1,0,0.9507143064099162
2,0,0.7319939418114051
3,0,0.5986584841970366
4,0,0.15601864044243652
5,0,0.15599452033620265
6,0,0.05808361216819946
7,0,0.8661761457749352
8,0,0.6011150117432088
9,0,0.7080725777960455
10,0,0.020584494295802447
11,0,0.9699098521619943
0,1,0.8324426408004217
1,1,0.21233911067827616
2,1,0.18182496720710062
3,1,0.18340450985343382
4,1,0.3042422429595377
5,1,0.5247564316322378
6,1,0.43194501864211576
7,1,0.2912291401980419
8,1,0.6118528947223795
9,1,0.13949386065204183
10,1,0.29214464853521815
11,1,0.3663618432936917
0,2,0.45606998421703593
1,2,0.7851759613930136
2,2,0.19967378215835974
3,2,0.5142344384136116
4,2,0.5924145688620425
5,2,0.046450412719997725
6,2,0.6075448519014384
7,2,0.17052412368729153
8,2,0.06505159298527952
9,2,0.9488855372533332
10,2,0.9656320330745594
11,2,0.8083973481164611
0,3,0.3046137691733707
1,3,0.09767211400638387
2,3,0.6842330265121569
3,3,0.4401524937396013
4,3,0.12203823484477883
5,3,0.4951769101112702
6,3,0.034388521115218396
7,3,0.9093204020787821
8,3,0.2587799816000169
9,3,0.662522284353982
10,3,0.31171107608941095
11,3,0.5200680211778108
0,4,0.5467102793432796
1,4,0.18485445552552704
2,4,0.9695846277645586
3,4,0.7751328233611146
4,4,0.9394989415641891
5,4,0.8948273504276488
6,4,0.5978999788110851
7,4,0.9218742350231168
8,4,0.0884925020519195
9,4,0.1959828624191452
10,4,0.045227288910538066
11,4,0.32533033076326434
0,5,0.388677289689482
1,5,0.2713490317738959
2,5,0.8287375091519293
3,5,0.3567533266935893
4,5,0.28093450968738076
5,5,0.5426960831582485
6,5,0.14092422497476265
7,5,0.8021969807540397
8,5,0.07455064367977082
9,5,0.9868869366005173
10,5,0.7722447692966574
11,5,0.1987156815341724
0,6,0.005522117123602399
1,6,0.8154614284548342
2,6,0.7068573438476171
3,6,0.7290071680409873
4,6,0.7712703466859457
5,6,0.07404465173409036
6,6,0.3584657285442726
7,6,0.11586905952512971
8,6,0.8631034258755935
9,6,0.6232981268275579
10,6,0.3308980248526492
11,6,0.06355835028602363
0,7,0.3109823217156622
1,7,0.32518332202674705
2,7,0.7296061783380641
3,7,0.6375574713552131
4,7,0.8872127425763265
5,7,0.4722149251619493
6,7,0.1195942459383017
7,7,0.713244787222995
8,7,0.7607850486168974
9,7,0.5612771975694962
10,7,0.770967179954561
11,7,0.49379559636439074
