ax_00_ecdf_ecdf_x,ax_00_ecdf_ecdf_y,ax_00_ecdf_ecdf_n,ax_00_ecdf_ecdf_x_step,ax_00_ecdf_ecdf_y_step
-3.2412673400690726,0.1,1000.0,-3.2412673400690726,0.1
-2.6968866429415717,0.2,,-2.6968866429415717,0.1
-2.650969808393012,0.3,,-2.6968866429415717,0.2
-2.6197451040897444,0.4,,-2.650969808393012,0.2
-2.4716445001272893,0.5,,-2.650969808393012,0.3
-2.4238793266289567,0.6,,-2.6197451040897444,0.3
-2.301921164735585,0.7,,-2.6197451040897444,0.4
-2.211135309007885,0.8,,-2.4716445001272893,0.4
-2.198805956620082,0.9,,-2.4716445001272893,0.5
-2.123895724309807,1.0,,-2.4238793266289567,0.5
-2.081929407883722,1.1,,-2.4238793266289567,0.6
-2.0733902324081495,1.2,,-2.301921164735585,0.6
-2.0674421000398766,1.3,,-2.301921164735585,0.7
-2.0417348684242906,1.4,,-2.211135309007885,0.7
-2.0392321777601006,1.5,,-2.211135309007885,0.8
-2.038124535177854,1.6,,-2.198805956620082,0.8
-2.025142586657607,1.7,,-2.198805956620082,0.9
-1.9875689146008928,1.8,,-2.123895724309807,0.9
-1.9596701238797756,1.9,,-2.123895724309807,1.0
-1.9520877995225019,2.0,,-2.081929407883722,1.0
-1.9187712152990415,2.1,,-2.081929407883722,1.1
-1.913280244657798,2.2,,-2.0733902324081495,1.1
-1.889540730945531,2.3,,-2.0733902324081495,1.2
-1.8707919210258557,2.4,,-2.0674421000398766,1.2
-1.867265192591748,2.5,,-2.0674421000398766,1.3
-1.8408742313316453,2.6,,-2.0417348684242906,1.3
-1.804882100664519,2.7,,-2.0417348684242906,1.4
-1.7787202489042786,2.8,,-2.0392321777601006,1.4
-1.763040155362734,2.9,,-2.0392321777601006,1.5
-1.7587394864231143,3.0,,-2.038124535177854,1.5
-1.7249178325130328,3.1,,-2.038124535177854,1.6
-1.7131345290908775,3.2,,-2.025142586657607,1.6
-1.7101683926566256,3.3,,-2.025142586657607,1.7
-1.7033824393551547,3.4,,-1.9875689146008928,1.7
-1.7025836042378404,3.5,,-1.9875689146008928,1.8
-1.6924646297148194,3.6,,-1.9596701238797756,1.8
-1.6694052811213718,3.7,,-1.9596701238797756,1.9
-1.6615200622689599,3.8,,-1.9520877995225019,1.9
-1.6609609335159914,3.9,,-1.9520877995225019,2.0
-1.6548566718657693,4.0,,-1.9187712152990415,2.0
-1.6275424378831627,4.1,,-1.9187712152990415,2.1
-1.6127158711896517,4.2,,-1.913280244657798,2.1
-1.6074832345612275,4.3,,-1.913280244657798,2.2
-1.6064463202575725,4.4,,-1.889540730945531,2.2
-1.594427658794367,4.5,,-1.889540730945531,2.3
-1.5839028234857233,4.6,,-1.8707919210258557,2.3
-1.5702247198904564,4.7,,-1.8707919210258557,2.4
-1.5566291735239037,4.8,,-1.867265192591748,2.4
-1.5506634310661327,4.9,,-1.867265192591748,2.5
-1.5341141707356223,5.0,,-1.8408742313316453,2.5
