stimulus_id,frequency_hz,duration_ms,modality
stim_000,48.0,200,visual
stim_001,29.5,500,auditory
stim_002,82.2,500,visual
stim_003,31.3,200,visual
stim_004,22.1,100,auditory
stim_005,93.8,500,visual
stim_006,76.3,500,auditory
stim_007,16.9,200,auditory
stim_008,56.8,500,auditory
stim_009,66.8,200,visual
stim_010,17.3,100,auditory
stim_011,66.3,500,visual
stim_012,51.0,200,auditory
stim_013,40.4,500,visual
stim_014,21.8,200,visual
stim_015,60.6,100,auditory
stim_016,43.7,100,auditory
stim_017,52.8,100,auditory
stim_018,84.6,100,visual
stim_019,99.4,500,auditory
stim_020,64.2,500,visual
stim_021,3.5,500,visual
stim_022,19.0,200,visual
stim_023,76.1,100,visual
stim_024,58.9,100,visual
stim_025,26.9,200,auditory
stim_026,76.7,200,auditory
stim_027,33.0,500,visual
stim_028,2.4,200,visual
stim_029,2.0,200,auditory
stim_030,63.1,200,auditory
stim_031,10.0,100,visual
stim_032,9.2,200,auditory
stim_033,53.4,100,visual
stim_034,36.7,500,visual
stim_035,59.6,500,visual
stim_036,91.3,100,auditory
stim_037,65.5,200,auditory
stim_038,59.9,200,auditory
stim_039,18.1,200,visual
