trial,subject_id,group,stimulus_id,modality,covariate_score,reaction_time_ms,accuracy,neural_response
0,S000,treatment,stim_022,visual,48.9,397.81423353781844,1,0.32556330157347546
1,S001,treatment,stim_025,auditory,41.4,521.4078902884595,1,1.078936261290314
2,S002,control,stim_024,visual,63.4,396.688528578556,1,0.2850703996226911
3,S003,treatment,stim_001,auditory,47.0,502.9663129795574,1,0.7919957263448029
4,S004,treatment,stim_015,auditory,63.9,365.5175548707701,0,0.3546167008905858
5,S005,control,stim_034,visual,47.4,531.7761893026898,0,0.18519471241101604
6,S006,treatment,stim_000,visual,67.9,421.27412974546263,1,0.3878349423280381
7,S007,control,stim_034,visual,39.7,460.33148386451774,1,0.22745738746470717
8,S008,treatment,stim_009,visual,64.6,415.9971779596536,1,0.44077375231256805
9,S009,control,stim_000,visual,56.1,208.6859687937762,0,0.3434877620732284
10,S010,control,stim_005,visual,57.2,398.898713127357,1,0.9202044432587659
11,S011,treatment,stim_015,auditory,46.4,445.68551123714036,1,0.7519444656043927
12,S012,control,stim_003,visual,24.4,393.4241930622654,1,0.056357643269766944
13,S013,control,stim_007,auditory,38.5,427.7577481082714,1,0.23908171906814724
14,S014,treatment,stim_009,visual,44.5,243.9368198207482,0,1.0066354613770931
15,S015,treatment,stim_017,auditory,49.6,362.59151769656484,0,0.56662141150675
16,S016,treatment,stim_034,visual,64.4,349.0492812751282,1,0.7228357884644396
17,S017,control,stim_016,auditory,57.7,441.77704963083505,0,0.4580792298958706
18,S018,control,stim_018,visual,39.4,311.83230344355906,1,0.9881891226147785
19,S019,control,stim_013,visual,50.7,516.5650250496683,1,0.48197479500545515
20,S020,control,stim_030,auditory,46.9,441.46791563872335,1,0.602980271687894
21,S021,control,stim_033,visual,63.6,357.24542692547624,1,0.3156112654413076
22,S022,treatment,stim_007,auditory,49.0,477.9998386606773,1,0.5465707773128629
23,S023,treatment,stim_017,auditory,34.5,443.55601266946235,1,0.6225206504718991
