id,value,category,source
1,73.54228004868517,Z,C
2,87.18628889773792,X,C
3,76.90247133342996,Z,C
6,70.00834532295876,Z,C
7,79.67463032355977,Z,C
8,76.85429017042063,Z,C
9,77.5603424617674,X,C
10,76.1153343002405,Z,C
11,80.33005249526596,Z,C
12,89.18339440435025,X,C
14,73.10434890990135,X,C
15,79.66340476133924,Z,C
16,85.3331774582855,X,C
17,83.1039240362824,X,C
18,73.37582095172681,X,C
19,72.48525648796821,Z,C
20,73.28793905947457,Z,C
21,78.08500967913376,Z,C
23,72.46127065723812,Z,C
24,72.5230903170073,Z,C
25,72.88965185216273,X,C
26,90.68973762575406,Z,C
27,75.67480825701757,Z,C
29,83.23236192781573,Z,C
30,70.96812460595963,Z,C
31,81.11603929167384,Z,C
32,71.55247890548371,Z,C
33,76.52858292582826,Z,C
35,88.25571180261717,Z,C
37,71.79016507998021,X,C
38,71.12317028871051,X,C
39,72.9615497808331,Z,C
40,79.86290626247245,X,C
41,75.13767754129414,Z,C
42,78.2962582309954,X,C
43,70.87710947082853,X,C
44,75.84938574684028,Z,C
46,74.00058331701898,Z,C
47,71.56108127637343,Z,C
51,77.34208977569122,Z,C
52,81.68669791559756,X,C
53,75.02939646097748,X,C
55,79.60488424262687,X,C
57,79.77449118912072,X,C
58,89.54374715076031,Z,C
59,75.84700756956342,Z,C
60,74.36045772753714,X,C
61,80.86801984364358,Z,C
62,70.55211558488469,X,C
63,79.4305381111514,Z,C
65,80.47065779804957,Z,C
66,75.1236380779706,X,C
67,72.92953491741406,Z,C
68,72.05274284597432,X,C
69,80.0013152913823,X,C
70,85.92692798684826,X,C
71,72.19574390764305,X,C
72,74.92303443713902,X,C
73,73.03087496362697,X,C
74,76.6549684043321,X,C
75,89.82585547858561,Z,C
76,80.21608550499032,X,C
78,70.7254124881299,X,C
79,72.18129690403735,Z,C
80,80.56246678399869,Z,C
81,77.74368918873287,X,C
82,75.59853352928575,X,C
83,72.613993075055,Z,C
85,90.8781305625612,Z,C
86,74.82388020868497,X,C
87,81.30237633794499,Z,C
88,70.97506672224822,X,C
90,82.63648687996456,Z,C
92,72.00888170973292,Z,C
93,70.33027646043877,Z,C
94,71.57535059138328,X,C
95,78.53079035620738,Z,C
96,74.24843085108013,X,C
100,84.93063858756649,Z,C
101,71.74669452111652,X,C
103,78.18782602276566,Z,C
104,77.59398114961928,Z,C
105,70.48073817092987,Z,C
106,73.47767931034889,Z,C
108,95.64742869937416,X,C
109,80.18091410040381,Z,C
110,81.83221010456776,X,C
113,79.57348179915695,Z,C
114,72.72627423761291,Z,C
116,73.2143977303512,X,C
119,84.33050780315446,X,C
121,75.32350280927875,Z,C
122,75.33218670556599,Z,C
123,82.77161046739273,Z,C
124,92.22860064435903,X,C
125,71.21377360741442,X,C
127,80.0153195006379,X,C
128,75.62630132507218,Z,C
129,83.93652519535505,Z,C
132,72.28611097941435,Z,C
133,80.68499631885248,X,C
134,90.0960591815678,X,C
135,78.64093550838685,X,C
138,73.58609996423507,X,C
139,85.60534132360911,X,C
140,76.4552908295491,Z,C
141,70.8723027946856,X,C
144,73.49858915831732,X,C
146,77.0631081035183,Z,C
147,84.39754217376628,X,C
149,76.52569595405883,X,C
152,77.2553618095657,X,C
153,73.18855267745654,Z,C
154,72.94683485209569,X,C
156,84.75878743082404,X,C
157,74.04191596891545,Z,C
158,73.18355840707338,Z,C
160,73.44361282365264,X,C
161,72.42108363990629,Z,C
163,77.19815044277391,X,C
164,78.33882870660925,X,C
165,71.31101092725275,X,C
169,76.04519472741464,X,C
170,70.98551310716806,Z,C
172,74.40030159577175,Z,C
173,74.45995650662059,Z,C
174,76.25309272643285,Z,C
175,80.7641004879943,X,C
176,74.13280641638792,X,C
178,79.37720584093216,Z,C
180,83.54177713821107,Z,C
181,93.6931195604356,X,C
183,75.8384355646018,X,C
185,85.75357501287709,Z,C
186,85.01963902698495,Z,C
187,76.87190571708697,X,C
188,75.8772996194869,X,C
190,71.43174522500868,Z,C
191,86.10024973290977,Z,C
192,77.37156234523263,X,C
193,86.69750724330045,Z,C
194,83.0836949214138,X,C
195,74.89080611659668,X,C
196,81.0032158137294,Z,C
197,95.4497402450394,Z,C
199,91.41927240005512,X,C
201,81.28637198360207,Z,C
202,83.99322639227647,Z,C
203,71.87340295069508,X,C
205,85.33918946976745,X,C
206,71.72327778583171,Z,C
207,80.64135279199866,Z,C
208,74.86606604770056,X,C
209,82.04273752609986,Z,C
210,77.52791188972796,X,C
213,85.80165774436337,Z,C
214,76.6973283511857,Z,C
215,71.32889504501628,Z,C
216,71.77356384096555,Z,C
217,70.44317843730383,X,C
219,83.95219463462588,Z,C
221,70.69947538021766,X,C
222,70.65920952151096,Z,C
223,73.73168935307334,X,C
226,75.68731382975625,Z,C
227,80.1566679223251,X,C
228,73.83608033953305,Z,C
229,78.52083729407222,X,C
231,90.8984603274394,Z,C
233,81.66497501636039,X,C
234,74.87265978989672,Z,C
235,71.21350479745078,Z,C
236,78.22938422003841,X,C
237,71.0725925130613,X,C
238,77.08817183340435,X,C
240,72.64827720062686,Z,C
243,71.74794588571629,Z,C
245,70.06624960715912,Z,C
246,77.98264542129667,Z,C
247,85.45680554260936,X,C
248,81.15667877609593,Z,C
249,78.16833499051063,X,C
